site,source,isbn,title,authors
eksmo,https://eksmo.ru/book/brilliant-fortuny-ITD89326/,978-5-699-51201-0,Бриллиант Фортуны,Вербинина В.
igra_slov,https://igraslov.store/product/foer-d-zhutko-gromko-i-zapredelno-blizko-eksmo-magistral-klap/,978-5-04-121340-4,Фоер Д. Жутко громко и запредельно близко,Джонатан Сафран Фоер
eksmo,https://eksmo.ru/book/lyubov-s-protsentami-ITD89331/,978-5-699-50738-2,Любовь с процентами,Серова М.С.
labirint,https://www.labirint.ru/books/68244/,978-5-7062-0161-6,Русско-английский разговорник,"Виктория Плюс, 2024"
eksmo,https://eksmo.ru/book/nerazrezannye-stranitsy-ITD89328/,978-5-699-51411-3,Неразрезанные страницы,Устинова Т.В.
igra_slov,https://igraslov.store/product/lourens-d-lyubovnik-ledi-chatterli-eksmo-magistral-klap/,978-5-04-177425-7,Лоуренс Д. Любовник леди Чаттерли,Дэвид Герберт Лоуренс
eksmo,https://eksmo.ru/book/izuchaem-kompyuter-cd-ITD89330/,978-5-699-51607-0,Изучаем компьютер (+CD),Дуванов А.А.
labirint,https://www.labirint.ru/books/68245/,978-5-89173-8910,Русско-арабский разговорник,"Виктория Плюс, 2021"
igra_slov,https://igraslov.store/product/vudford-s-antichnoe-iskusstvo-admarginem-osnovy-iskusstva-klap/,978-5-91103-534-1,Вудфорд С. Античное искусство,Сьюзен Вудфорд
eksmo,https://eksmo.ru/book/vesy-zodiakalnyy-prognoz-na-2012-god-ITD89332/,978-5-699-51451-9,Весы. Зодиакальный прогноз на 2012 год,Глоба П.П.
igra_slov,https://igraslov.store/product/dyurkgejm-e-samoubijstvo-ast-eksklass-myagk/,978-5-17-118926-6,Дюркгейм Э. Самоубийство,Ильинский А.
labirint,https://www.labirint.ru/books/68246/,978-5-7062-0146-3,Русско-испанский разговорник,"Виктория Плюс, 2023"
eksmo,https://eksmo.ru/book/dekorirovanie-butylok-sozdaem-izyskannye-predmety-interera-ITD89333/,978-5-699-50293-6,Декорирование бутылок: создаем изысканные предметы интерьера,Ольга Воронова
labirint,https://www.labirint.ru/books/68247/,978-5-70620-150-0,Русско-итальянский разговорник,"Виктория Плюс, 2023"
eksmo,https://eksmo.ru/book/vodoley-zodiakalnyy-prognoz-na-2012-god-ITD89336/,978-5-699-51454-0,Водолей. Зодиакальный прогноз на 2012 год,Глоба П.П.
igra_slov,https://igraslov.store/product/drajzer-t-finansist-ast-eksklass-myagk/,978-5-17-106459-4,Драйзер Т. Финансист,Теодор Драйзер
eksmo,https://eksmo.ru/book/u-vendetty-dlinnye-ruki-ITD89337/,978-5-699-50739-9,У вендетты длинные руки,Серова М.С.
