site,source,isbn,title,authors
labirint,https://www.labirint.ru/books/77385/,985-483-478-6,Азбука создания победоносной бизнес-команды: Блэйр Сингер,Сингер Блэйр
labirint,https://www.labirint.ru/books/77389/,985-483-455-7,Основы ухода за ребенком от доктора Спока: Роберт Нидлмен,Нидлмен Роберт
labirint,https://www.labirint.ru/books/77400/,1-85326-114-9,Tales from the Arabian Nights,Lang Andrew
labirint,https://www.labirint.ru/books/77401/,1-85326-109-2,Black Beauty: Anna Sewell,Sewell Anna
labirint,https://www.labirint.ru/books/77403/,1-85326-056-8,Persuasion: Jane Austen,Austen Jane
labirint,https://www.labirint.ru/books/77406/,1-85326-216-1,Agnes Grey: Anne Bronte,Bronte Anne
labirint,https://www.labirint.ru/books/77404/,978-1-85326-016-2,Sense and Sensibility: Jane Austen,Austen Jane
labirint,https://www.labirint.ru/books/77409/,978-1-85326-020-9,Jane Eyre: Charlotte Bronte,Bronte Charlotte
labirint,https://www.labirint.ru/books/77410/,978-1-85326-208-1,The Professor: Charlotte Bronte,Bronte Charlotte
labirint,https://www.labirint.ru/books/77412/,978-1-85326-072-8,Villette: Charlotte Bronte,Bronte Charlotte
labirint,https://www.labirint.ru/books/77413/,1-85326-003-7,The Complete Father Brown Stories: Gilbert Chesterton,Chesterton Gilbert Keith
labirint,https://www.labirint.ru/books/77415/,1-85326-044-4,The Moonstone: Wilkie Collins,Collins Wilkie
labirint,https://www.labirint.ru/books/77428/,1-85326-045-2,Robinson Crusoe: Daniel Defoe,Defoe Daniel
labirint,https://www.labirint.ru/books/77427/,5-08-003960-4,Стихотворения: Михаил Лермонтов,Лермонтов Михаил Юрьевич
labirint,https://www.labirint.ru/books/77429/,978-1-85326-024-7,David Copperfield: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77434/,1-85326-194-7,Our Mutual Friend: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77430/,1-85326-232-3,Hard Times: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77431/,978-1-85326-182-4,Little Dorrit: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77433/,1-85326-244-7,The Old Curiosity Shop: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77432/,1-85326-264-1,Nicholas Nickleby. The Life and Adventures: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77435/,1-85326-039-8,A Tale of Two Cities: Charles Dickens,Dickens Charles
labirint,https://www.labirint.ru/books/77438/,1-85326-400-2,The Hound of the Baskervilles: Arthur Doyle,Doyle Arthur Conan
labirint,https://www.labirint.ru/books/77440/,1-85326-435-5,The Man in the Iron Mask: Alexandre Dumas,Dumas Alexandre
labirint,https://www.labirint.ru/books/77436/,978-1-85326-033-9,The Adventures of Sherlock Holmes. Selected stories: Arthur Doyle,Doyle Arthur Conan
labirint,https://www.labirint.ru/books/77441/,1-85326-040-1,The Three Musketeers: Alexandre Dumas,Dumas Alexandre
labirint,https://www.labirint.ru/books/77442/,1-85326-078-9,Madame Bovary: Gustave Flaubert,Flaubert Gustave
labirint,https://www.labirint.ru/books/77443/,978-1-84022-438-2,The Forsyte Saga: John Galsworthy,Galsworthy John
labirint,https://www.labirint.ru/books/77444/,978-1-85326-068-1,The Hunchback of Notre-Dame: Victor Hugo,Hugo Victor
labirint,https://www.labirint.ru/books/77446/,978-1-85326-007-0,Women in Love: David Lawrence,Lawrence David Herbert
labirint,https://www.labirint.ru/books/77445/,1-85326-047-9,Sons and Lovers: David Lawrence,Lawrence David Herbert
labirint,https://www.labirint.ru/books/77450/,1-85326-253-6,Rob Roy: Walter Scott,Scott Walter
labirint,https://www.labirint.ru/books/77447/,1-85326-026-6,The Call of the Wild and White Fang: Jack London,London Jack
labirint,https://www.labirint.ru/books/77451/,1-85326-023-1,Frankenstein: Mary Shelley,Shelley Mary
labirint,https://www.labirint.ru/books/77453/,1-85326-019-3,Vanity Fair: William Thackeray,Thackeray William Makepeace
labirint,https://www.labirint.ru/books/77456/,1-85326-418-5,The Plays of Oscar Wilde: Oscar Wilde,Wilde Oscar
labirint,https://www.labirint.ru/books/77457/,5-9542-0056-4,"The Fox. Maggie, a girl of the streets: Lawrence, Крейн","Lawrence David Herbert, Крейн Стивен"
labirint,https://www.labirint.ru/books/77458/,5-9542-0048-3,"Up at the villa. The pearl (на английском языке): Maugham, Стейнбек","Maugham William Somerset, Стейнбек Джон"
labirint,https://www.labirint.ru/books/77461/,5-9542-0003-3,Alice in Wonderland and Through the Looking-Glass: Lewis Carroll,Carroll Lewis
labirint,https://www.labirint.ru/books/77462/,5-9542-0043-2,Murder on the Orient Express: Agatha Christie,Christie Agatha
labirint,https://www.labirint.ru/books/77464/,5-9542-0040-8,The Best of Sherlock Holmes: Arthur Doyle,Doyle Arthur Conan
labirint,https://www.labirint.ru/books/77469/,5-9542-0013-0,25 Best Stories: Henry O.,O. Henry
labirint,https://www.labirint.ru/books/77466/,978-5-7974-0438-5,The Great Gatsby: Francis Fitzgerald,Fitzgerald Francis Scott
labirint,https://www.labirint.ru/books/77465/,978-5-7974-0470-5,The Hound of the Baskervilles: Arthur Doyle,Doyle Arthur Conan
labirint,https://www.labirint.ru/books/77470/,5-9245-0020-3,Three men in a boat (to say nothing of the dog): Jerome Jerome,Jerome Jerome K.
